SLNO,numPS,namePSe,namePSh,PART_CATEGORY,PART_LAT_LONG,latPS,longPS,acPS
121,121,PURVA MADHYAMIK VIDYALAY CHIRAIGAON R.NO.- 1,पूर्व माध्यमिक विद्यालय चिरईगांव क0सं01,R,25.357118863571234-83.04127424955368,25.3658139,83.0584995,386
122,122,PURVA MADHYAMIK VIDYALAY CHIRAIGAON R.NO.- 2,पूर्व माध्यमिक विद्यालय चिरईगांव क0सं02,R,25.356866788687054-83.04109185934067,25.3655436,83.058555,386
123,123,PRATHMIK VIDYALAYA CHIRAIGAON R.NO.1,प्राथमिक विद्यालय चिरईगांव क0सं0 1,R,25.357051906231394-83.04119110107422,25.3666196,83.058798,386
124,124,PRATHMIK VIDYALAYA CHIRAIGAON R.NO.2,प्राथमिक विद्यालय चिरईगांव क0स0 2,R,25.37010182715209-83.05532064288855,25.3665183,83.0587946,386
125,125,COMPOSIT VIDYALAYA DEENAPUR R.NO. 1,कम्‍पोजिट विद्यालय दीनापुर क0सं0 1,U,25.36704571201909-83.05573269724844,25.3541893,83.0546148,386
126,126,COMPOSIT VIDYALAYA DEENAPUR R.NO. 2,कम्‍पोजिट विद्यालय दीनापुर क0सं0 2,U,25.369846446977625-83.0529173836112,25.3544473,83.0543674,386
127,127,COMPOSIT VIDYALAYA DEENAPUR R.NO. 3,कम्‍पोजिट विद्यालय दीनापुर क0सं0 3,U,25.373430202435536-83.05442813783885,25.354465,83.05457,386
128,128,PRATHMIK VIDYALAYA SARAIMOHANA R.NO.1,प्राथमिक विद्यालय सरायमोहाना क0सं0 1,U,25.383971219473615-83.04586485028265,25.3332252,83.0529372,386
129,129,PRATHMIK VIDYALAYA SARAIMOHANA R.NO.2,प्राथमिक विद्यालय सरायमोहाना क0सं0 2,U,25.381223821925712-83.04859936237335,25.3351774,83.0557701,386
130,130,PRATHMIK VIDYALAYA SARAIMOHANA R.NO.3,प्राथमिक विद्यालय सरायमोहाना क0सं0 3,U,25.386228461178536-83.04205007851125,25.3329916,83.0533016,386
